Ref. No.,Organisation Name,Grant Status,Start Date,End Date,Revised End Date,BCC Directorate,Actual Funding Award,"Annual Total 
2012/2013","Annual Total 
2013/2014","Annual Total
2014/2015",Overall Total Paid
1002278,NORTHFIELD ARTS FORUM,Approved,01.08.2014,30.11.2014,,Economy,"9,941.00",,,"8,946.90","8,946.90"
1002286,THE PUMP (EAST BIRMINGHAM) LTD,Approved,01.10.2014,31.10.2015,31.03.2015,Economy,"8,280.00",,,"7,452.00","7,452.00"
1002287,YMCA SUTTON COLDFIELD,Approved,09.07.2014,09.07.2014,,Edgbaston District,"9,588.00",,,"8,629.00","8,629.00"
1002288,BETHANY PENTECOSTAL CHURCH,Approved,09.07.2014,09.07.2014,,Erdington District,"3,250.00",,,"3,250.00","3,250.00"
1002289,LIFE EDUCATION CENTRES WESTMIDLANDS,Approved,09.07.2014,09.07.2014,,Erdington District,"2,950.00",,,"2,950.00","2,950.00"
1002290,ERDINGTON TOWN CENTRE PARTNERSHIP,Approved,09.07.2014,09.07.2014,,Erdington District,400,,,400,400
1002291,URBAN DEVOTION BIRMINGHAM,Approved,09.07.2014,09.07.2014,,Erdington District,"5,000.00",,,"5,000.00","5,000.00"
1002292,BHAM TUC CENTRE FOR THE UNEMPLOYED,Approved,16.07.2014,31.03.2015,,Yardley District,"3,000.00",,,"3,000.00","3,000.00"
1002293,BHAM TUC CENTRE FOR THE UNEMPLOYED,Approved,16.07.2014,31.03.2015,,Yardley District,"4,030.00",,,"2,015.00","2,015.00"
1002294,HOUSE OF PLAY + EDUCATION,Approved,16.07.2014,31.03.2015,,Yardley District,"2,500.00",,,"1,250.00","1,250.00"
1002295,BLUE INK TRUST,Approved,16.07.2014,31.03.2015,,Yardley District,"7,500.00",,,"3,972.00","3,972.00"
1002296,SPORT 4 LIFE UK,Approved,16.07.2014,31.03.2015,,Yardley District,"1,640.00",,,820,820
1002297,BHAM TUC CENTRE FOR THE UNEMPLOYED,Approved,16.07.2014,31.03.2015,,Yardley District,"1,080.00",,,540,540
1002298,ST THOMAS COMMUNITY PROJECT,Approved,16.07.2014,31.03.2015,,Yardley District,"2,500.00",,,"1,250.00","1,250.00"
1002299,MAC CHARITY,Approved,27.06.2014,31.03.2015,,Economy,500,,,500,500
1002300,SOUTH BIRMINGHAM YOUNG HOMELESS PRO,Approved,17.07.2014,31.03.2015,,Place,"4,000.00",,,"3,600.00","3,600.00"
1002301,ACOCKS GREEN CARNIVAL,Approved,17.07.2014,31.03.2015,,Yardley District,"10,000.00",,,"5,000.00","5,000.00"
1002302,THE PUMP (EAST BIRMINGHAM) LTD,Approved,18.07.2014,31.03.2015,,Hodge Hill District,"4,000.00",,,"4,000.00","4,000.00"
1002303,PERRY ASTON RESIDENTS ASSOCIATION,Approved,21.07.2014,31.03.2015,,Ladywood District,"3,000.00",,,"3,000.00","3,000.00"
1002304,LADYWOOD PROJECT,Approved,11.08.2014,31.03.2015,,Ladywood District,500,,,300,300
1002305,NORTH SUMMERFIELD RESIDENTS ASSOC,Approved,04.09.2014,31.03.2015,,Ladywood District,"3,000.00",,,"3,000.00","3,000.00"
1002307,ANNIE WOOD GOLDEN ELDERS,Approved,04.09.2014,31.03.2015,,Ladywood District,"2,000.00",,,"1,500.00","1,500.00"
1002308,LAW LEISURE & LEARNING,Approved,20.08.2014,31.03.2015,,Ladywood District,500,,,300,300
1002310,KARIS NEIGHBOUR SCHEME,Approved,11.08.2014,31.03.2015,,Ladywood District,800,,,600,600
1002311,OUR LITTLE ANGELZ LTD,Approved,23.07.2014,31.03.2015,,Yardley District,"1,500.00",,,"1,500.00","1,500.00"
1002312,URBAN DEVOTION BIRMINGHAM,Approved,23.07.2014,31.03.2015,,Erdington District,"2,500.00",,,"2,250.00","2,250.00"
1002313,FOX HOLLIES COMMUNITY ASSOCIATION,Approved,24.07.2014,31.03.2015,,Yardley District,"5,000.00",,,"5,000.00","5,000.00"
1002314,BLACK INTERNATIONAL FILM FESTIVAL,Approved,01.08.2014,31.03.2015,,Place,"3,000.00",,,"3,000.00","3,000.00"
1002315,BIRMINGHAM REPERTORY THEATRE (LTD),Approved,01.04.2014,31.03.2016,,Economy,500,,,500,500
1002316,WITTON LODGE COMMUNITY ASSOCIATION,Approved,30.07.2014,31.03.2015,,Erdington District,"1,277,500.00",,,"365,000.00","365,000.00"
1002317,LIFE EDUCATION CENTRES WESTMIDLANDS,Approved,31.07.2014,31.03.2015,,Yardley District,"1,000.00",,,"1,000.00","1,000.00"
1002318,LIFE EDUCATION CENTRES WESTMIDLANDS,Approved,04.08.2014,31.03.2015,,Erdington District,"2,640.00",,,"1,320.00","1,320.00"
1002319,BANNERS GATE (VESEY) FORUM,Approved,05.08.2014,31.03.2015,,Sutton Coldfield District,570,,,570,570
1002320,VESEY NEIGHBOURHOOD FORUM,Approved,05.08.2014,31.03.2015,,Sutton Coldfield District,500,,,500,500
1002321,CASTLE VALE TRA (B'HAM) LTD,Approved,08.08.2014,31.03.2015,,Erdington District,600,,,600,600
1002322,ERDINGTON BAPTIST CHURCH,Approved,08.08.2014,08.08.2014,31.03.2015,Erdington District,"2,500.00",,,"2,500.00","2,500.00"
1002323,HIGHCROFT COMMUNITY CENTRE,Approved,08.08.2014,31.03.2015,,Erdington District,"1,000.00",,,"1,000.00","1,000.00"
1002324,V.O.W.S COMMUNITY ENTERPRISE C.I.C,Approved,15.08.2014,31.03.2015,,Place,"2,400.00",,,"2,400.00","2,400.00"
1002325,BIRMINGHAM SPORTS & CULTURAL DAY,Approved,15.08.2014,31.03.2015,31.03.2015,Place,500,,,500,500
1002327,V.O.W.S COMMUNITY ENTERPRISE C.I.C,Approved,15.08.2014,31.03.2015,,Place,500,,,500,500
1002328,BIRMINGHAM SPORTS & CULTURAL DAY,Approved,15.08.2014,31.03.2015,,Place,300,,,300,300
1002329,BHAM VERNON (UNIT 40) SEA CADET COR,Approved,15.08.2014,31.03.2015,,Ladywood District,500,,,500,500
1002330,STECHFORD VILLAGE N/HOOD FORUM,Approved,18.08.2014,31.03.2015,,Yardley District,"3,000.00",,,"3,000.00","3,000.00"
1002332,SPORT 4 LIFE UK,Approved,20.08.2014,31.03.2015,,Ladywood District,600,,,600,600
1002341,FIT2FIGHT,Approved,27.08.2014,31.03.2015,,Hodge Hill District,"1,390.00",,,"1,000.00","1,000.00"
1002342,F I T C A P,Approved,27.08.2014,31.03.2015,,Hodge Hill District,"1,000.00",,,"1,000.00","1,000.00"
1002345,STECHFORD VILLAGE N/HOOD FORUM,Approved,03.09.2014,31.03.2015,,Yardley District,"7,500.00",,,"7,500.00","7,500.00"
1002347,WOMENS HELP CENTRE LTD,Approved,05.09.2014,31.03.2015,,Place,200,,,200,200
1002348,LEGACY WM,Approved,05.09.2014,31.03.2015,,Place,"8,000.00",,,"8,000.00","8,000.00"
1002349,HANDSWORTH WOOD COMM. DEVEL. TRUST,Approved,12.09.2014,31.03.2015,,Place,500,,,500,500
1002350,OSCOTT RESIDENTS GROUP ASSOCIATION,Approved,12.09.2014,31.03.2015,,Place,"4,988.00",,,"4,988.00","4,988.00"
1002360,SONS OF REST BROOKVALE BRANCH,Approved,12.09.2014,31.03.2015,,Place,300,,,300,300
1002361,YMCA SUTTON COLDFIELD,Approved,09.09.2014,31.03.2015,,Sutton Coldfield District,400,,,400,400
1002362,YMCA SUTTON COLDFIELD,Approved,09.09.2014,31.03.2015,,Sutton Coldfield District,"4,500.00",,,"4,500.00","4,500.00"
1002363,YMCA SUTTON COLDFIELD,Approved,09.09.2014,31.03.2015,,Sutton Coldfield District,"4,500.00",,,"4,500.00","4,500.00"
1002364,YMCA SUTTON COLDFIELD,Approved,09.09.2014,31.03.2015,,Sutton Coldfield District,"4,500.00",,,"1,500.00","1,500.00"
1002365,HAWTHORN ROAD TRADERS ASSOCIATION,Approved,10.09.2014,31.03.2015,,Erdington District,"4,500.00",,,"1,500.00","1,500.00"
1002366,ROSEMOUNT RESIDENTS ASSOCIATION,Approved,17.09.2014,30.09.2014,,Place,"1,000.00",,,"1,000.00","1,000.00"
,,,,,,,500,,,500,500
